ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.38 ms,80(HTTP),2026-07-15T20:50:33.196Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.028 ms,22(SSH),2026-07-15T20:50:36.219Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,154 ms,,2026-07-15T20:50:36.361Z
