ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.414 ms,80(http),2026-07-15T20:52:48.894Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.06 ms,22(ssh),2026-07-15T20:52:51.883Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,84.5 ms,,2026-07-15T20:52:53.324Z
