ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.372 ms,80(http),2026-07-15T20:53:17.835Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.027 ms,22(ssh),2026-07-15T20:53:19.335Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,79.3 ms,,2026-07-15T20:53:19.435Z
