ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.358 ms,80(http),2026-07-15T20:52:02.942Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.035 ms,22(ssh),2026-07-15T20:52:05.945Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,125 ms,,2026-07-15T20:52:06.057Z
