ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.352 ms,80(http),2026-07-15T20:52:30.436Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,163 ms,,2026-07-15T20:52:33.626Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.026 ms,22(ssh),2026-07-15T20:52:34.885Z
