ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.801 ms,80(HTTP),2026-07-15T20:51:35.795Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.028 ms,22(SSH),2026-07-15T20:51:38.344Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,90.6 ms,,2026-07-15T20:51:38.376Z
