ip,hostname,mac,vendor,deviceType,latency,openPorts,scannedAt
192.168.0.1,Unknown,Unknown,Unknown Vendor,Router / Gateway,0.359 ms,80(http),2026-07-15T20:52:21.332Z
192.168.0.103,Unknown,Unknown,Unknown Vendor,Linux / Unix Server,0.029 ms,22(ssh),2026-07-15T20:52:24.217Z
192.168.0.100,Unknown,Unknown,Unknown Vendor,Unknown Device,110 ms,,2026-07-15T20:52:24.312Z
